transaction_id,transaction_date,customer_id,product_category,region,status,amount,is_approved,is_refunded,reporting_date
TXN-00170,2025-01-03,7531,Risk,Middle East,refunded,1081.95,0,1,2025-01-03
TXN-00272,2025-01-03,4394,Invoices,Asia Pacific,refunded,491.53,0,1,2025-01-03
TXN-00385,2025-01-03,6558,Risk,North America,approved,1278.16,1,0,2025-01-03
TXN-00429,2025-01-03,2642,Risk,North America,refunded,1638.43,0,1,2025-01-03
TXN-00454,2025-01-03,5184,Subscriptions,North America,refunded,1539.92,0,1,2025-01-03
TXN-00787,2025-01-03,9154,Payments,Europe,refunded,1668.88,0,1,2025-01-03
TXN-00821,2025-01-03,1889,Payments,Europe,refunded,765.57,0,1,2025-01-03
TXN-00830,2025-01-03,2321,Payments,Middle East,approved,197.57,1,0,2025-01-03
TXN-01180,2025-01-03,4369,Invoices,North America,approved,723.86,1,0,2025-01-03
TXN-01300,2025-01-03,4574,Payments,Middle East,failed,2450.81,0,0,2025-01-03
TXN-01399,2025-01-03,8166,Payments,Asia Pacific,approved,2236.78,1,0,2025-01-03
TXN-01493,2025-01-03,2737,Risk,Latin America,approved,771.8,1,0,2025-01-03
TXN-00056,2025-01-04,2464,Invoices,Europe,failed,402.04,0,0,2025-01-04
TXN-00117,2025-01-04,8148,Risk,Europe,failed,1413.88,0,0,2025-01-04
TXN-00147,2025-01-04,4091,Risk,Asia Pacific,approved,784.55,1,0,2025-01-04
TXN-00250,2025-01-04,7473,Subscriptions,Europe,approved,459.08,1,0,2025-01-04
TXN-00328,2025-01-04,9860,Subscriptions,Middle East,refunded,1439.22,0,1,2025-01-04
TXN-00562,2025-01-04,6055,Payments,Asia Pacific,refunded,1997.12,0,1,2025-01-04
TXN-00663,2025-01-04,4625,Billing,Europe,approved,1858.8,1,0,2025-01-04
TXN-00811,2025-01-04,3524,Subscriptions,Latin America,failed,2475.46,0,0,2025-01-04
TXN-00817,2025-01-04,1781,Invoices,Middle East,failed,1890.02,0,0,2025-01-04
TXN-00844,2025-01-04,7639,Subscriptions,Middle East,approved,514.78,1,0,2025-01-04
TXN-00870,2025-01-04,2577,Risk,Europe,approved,1285.34,1,0,2025-01-04
TXN-00902,2025-01-04,6097,Billing,Asia Pacific,refunded,2008.59,0,1,2025-01-04
TXN-00970,2025-01-04,2926,Risk,Europe,refunded,380.06,0,1,2025-01-04
TXN-01019,2025-01-04,2289,Payments,Middle East,approved,543.72,1,0,2025-01-04
TXN-01099,2025-01-04,9715,Risk,Asia Pacific,approved,350.14,1,0,2025-01-04
TXN-01240,2025-01-04,4096,Subscriptions,North America,failed,266.72,0,0,2025-01-04
TXN-01266,2025-01-04,5810,Billing,Middle East,approved,735.25,1,0,2025-01-04
TXN-01446,2025-01-04,1965,Invoices,North America,failed,2435.81,0,0,2025-01-04
TXN-01452,2025-01-04,5573,Subscriptions,Latin America,refunded,438.67,0,1,2025-01-04
TXN-00352,2025-01-05,3279,Billing,Asia Pacific,approved,1650.31,1,0,2025-01-05
TXN-00397,2025-01-05,6168,Invoices,Latin America,approved,87.79,1,0,2025-01-05
TXN-00542,2025-01-05,9031,Invoices,North America,failed,172.54,0,0,2025-01-05
TXN-00546,2025-01-05,9925,Risk,Europe,refunded,1013.38,0,1,2025-01-05
TXN-00574,2025-01-05,4080,Subscriptions,Asia Pacific,refunded,156.7,0,1,2025-01-05
TXN-00584,2025-01-05,7006,Subscriptions,Middle East,refunded,1190.4,0,1,2025-01-05
TXN-00699,2025-01-05,6138,Subscriptions,Middle East,approved,1391.25,1,0,2025-01-05
TXN-00848,2025-01-05,7770,Subscriptions,Middle East,approved,462.72,1,0,2025-01-05
TXN-00887,2025-01-05,9575,Payments,Europe,failed,857.51,0,0,2025-01-05
TXN-00898,2025-01-05,3601,Payments,Europe,approved,545.54,1,0,2025-01-05
TXN-01110,2025-01-05,8440,Subscriptions,North America,approved,703.99,1,0,2025-01-05
TXN-01267,2025-01-05,4323,Subscriptions,Europe,refunded,1271.3,0,1,2025-01-05
TXN-01270,2025-01-05,9627,Invoices,Middle East,approved,1099.24,1,0,2025-01-05
TXN-01286,2025-01-05,2057,Risk,Asia Pacific,failed,503.45,0,0,2025-01-05
TXN-01453,2025-01-05,9429,Invoices,North America,failed,433.87,0,0,2025-01-05
TXN-01463,2025-01-05,9758,Invoices,Latin America,approved,2407.11,1,0,2025-01-05
TXN-01464,2025-01-05,1601,Risk,Europe,failed,2278.35,0,0,2025-01-05
TXN-00036,2025-01-06,1281,Billing,Middle East,approved,2320.37,1,0,2025-01-06
TXN-00150,2025-01-06,8525,Payments,Europe,failed,488.86,0,0,2025-01-06
TXN-00279,2025-01-06,3769,Billing,North America,approved,1205.28,1,0,2025-01-06
TXN-00518,2025-01-06,7534,Billing,Middle East,approved,2040.6,1,0,2025-01-06
TXN-00619,2025-01-06,5913,Invoices,Latin America,approved,375.09,1,0,2025-01-06
TXN-00858,2025-01-06,2972,Payments,Asia Pacific,failed,552.32,0,0,2025-01-06
TXN-01021,2025-01-06,4983,Payments,Middle East,approved,1613.78,1,0,2025-01-06
TXN-01026,2025-01-06,3915,Payments,North America,failed,196.75,0,0,2025-01-06
TXN-01035,2025-01-06,8211,Invoices,North America,failed,2417.7,0,0,2025-01-06
TXN-01136,2025-01-06,1238,Billing,Middle East,approved,2115.19,1,0,2025-01-06
TXN-01351,2025-01-06,2753,Risk,North America,refunded,1412.51,0,1,2025-01-06
TXN-01411,2025-01-06,2009,Payments,North America,approved,2478.09,1,0,2025-01-06
TXN-01456,2025-01-06,9952,Payments,Asia Pacific,approved,59.1,1,0,2025-01-06
TXN-01470,2025-01-06,6737,Risk,North America,approved,315.46,1,0,2025-01-06
TXN-00045,2025-01-07,3076,Payments,Middle East,approved,1410.2,1,0,2025-01-07
TXN-00069,2025-01-07,9183,Payments,Europe,approved,1717.72,1,0,2025-01-07
TXN-00387,2025-01-07,6855,Risk,Asia Pacific,approved,1262.58,1,0,2025-01-07
TXN-00659,2025-01-07,8316,Subscriptions,North America,approved,2188.81,1,0,2025-01-07
TXN-00899,2025-01-07,3266,Subscriptions,Latin America,failed,781.91,0,0,2025-01-07
TXN-01022,2025-01-07,1397,Payments,Asia Pacific,failed,999.36,0,0,2025-01-07
TXN-01027,2025-01-07,5215,Subscriptions,Middle East,approved,1082.22,1,0,2025-01-07
TXN-01055,2025-01-07,9835,Payments,Middle East,failed,2038.79,0,0,2025-01-07
TXN-01215,2025-01-07,5557,Risk,Latin America,approved,596.79,1,0,2025-01-07
TXN-01253,2025-01-07,6242,Billing,North America,refunded,1919.49,0,1,2025-01-07
TXN-01362,2025-01-07,9375,Risk,Middle East,refunded,1534.25,0,1,2025-01-07
TXN-00007,2025-01-08,9226,Invoices,Europe,approved,661.52,1,0,2025-01-08
TXN-00127,2025-01-08,6199,Billing,North America,approved,14.8,1,0,2025-01-08
TXN-00196,2025-01-08,7142,Payments,Latin America,approved,2205.48,1,0,2025-01-08
TXN-00217,2025-01-08,6812,Payments,Latin America,approved,1249.94,1,0,2025-01-08
TXN-00246,2025-01-08,9812,Billing,Europe,approved,45.18,1,0,2025-01-08
TXN-00280,2025-01-08,7160,Risk,North America,approved,2263.91,1,0,2025-01-08
TXN-00431,2025-01-08,1804,Subscriptions,North America,failed,1817.12,0,0,2025-01-08
TXN-00439,2025-01-08,9637,Billing,Europe,approved,183.33,1,0,2025-01-08
TXN-00678,2025-01-08,5324,Risk,Middle East,approved,353.88,1,0,2025-01-08
TXN-00728,2025-01-08,9395,Invoices,Asia Pacific,approved,602.21,1,0,2025-01-08
TXN-00753,2025-01-08,3192,Billing,Asia Pacific,refunded,1549.0,0,1,2025-01-08
TXN-00881,2025-01-08,2615,Billing,North America,approved,689.6,1,0,2025-01-08
TXN-01096,2025-01-08,2494,Invoices,Europe,failed,760.64,0,0,2025-01-08
TXN-01122,2025-01-08,4531,Billing,North America,refunded,618.9,0,1,2025-01-08
TXN-01256,2025-01-08,8841,Subscriptions,Middle East,refunded,1104.57,0,1,2025-01-08
TXN-01328,2025-01-08,9489,Invoices,Asia Pacific,refunded,382.28,0,1,2025-01-08
TXN-01361,2025-01-08,2742,Payments,Middle East,approved,437.67,1,0,2025-01-08
TXN-00001,2025-01-09,5767,Risk,Asia Pacific,refunded,221.3,0,1,2025-01-09
TXN-00010,2025-01-09,7148,Billing,Latin America,approved,421.05,1,0,2025-01-09
TXN-00033,2025-01-09,9395,Invoices,Asia Pacific,refunded,2333.12,0,1,2025-01-09
TXN-00087,2025-01-09,8408,Payments,Europe,approved,1717.12,1,0,2025-01-09
TXN-00133,2025-01-09,1819,Risk,Europe,failed,1785.09,0,0,2025-01-09
TXN-00172,2025-01-09,6101,Billing,Asia Pacific,approved,2168.44,1,0,2025-01-09
TXN-00218,2025-01-09,4411,Invoices,Latin America,approved,403.84,1,0,2025-01-09
TXN-00243,2025-01-09,5101,Billing,Middle East,failed,210.89,0,0,2025-01-09
TXN-00359,2025-01-09,5715,Payments,Europe,approved,2289.16,1,0,2025-01-09
TXN-00376,2025-01-09,2085,Invoices,Asia Pacific,failed,389.89,0,0,2025-01-09
TXN-00581,2025-01-09,8444,Billing,Europe,approved,263.4,1,0,2025-01-09
TXN-00588,2025-01-09,6965,Risk,Europe,approved,72.12,1,0,2025-01-09
TXN-00674,2025-01-09,7881,Payments,Europe,approved,578.81,1,0,2025-01-09
TXN-00695,2025-01-09,6916,Subscriptions,Europe,approved,282.99,1,0,2025-01-09
TXN-00700,2025-01-09,2509,Risk,Latin America,approved,60.44,1,0,2025-01-09
TXN-00791,2025-01-09,4551,Payments,Latin America,failed,131.18,0,0,2025-01-09
TXN-00826,2025-01-09,8407,Billing,Europe,approved,484.7,1,0,2025-01-09
TXN-00891,2025-01-09,5089,Invoices,North America,approved,509.66,1,0,2025-01-09
TXN-00910,2025-01-09,1239,Billing,Asia Pacific,failed,397.63,0,0,2025-01-09
TXN-00951,2025-01-09,8557,Subscriptions,Europe,refunded,2443.99,0,1,2025-01-09
TXN-00977,2025-01-09,5692,Risk,Europe,refunded,2012.65,0,1,2025-01-09
TXN-00171,2025-01-10,7867,Risk,North America,approved,552.41,1,0,2025-01-10
TXN-00258,2025-01-10,6478,Payments,North America,refunded,389.64,0,1,2025-01-10
TXN-00310,2025-01-10,9633,Billing,Latin America,approved,2002.19,1,0,2025-01-10
TXN-00322,2025-01-10,7882,Payments,Asia Pacific,failed,1621.33,0,0,2025-01-10
TXN-00460,2025-01-10,2684,Subscriptions,Latin America,approved,514.19,1,0,2025-01-10
TXN-00480,2025-01-10,8149,Risk,Asia Pacific,approved,646.89,1,0,2025-01-10
TXN-00516,2025-01-10,3872,Billing,Latin America,approved,1284.44,1,0,2025-01-10
TXN-00580,2025-01-10,2132,Payments,Middle East,approved,2301.7,1,0,2025-01-10
TXN-00583,2025-01-10,3923,Subscriptions,North America,refunded,178.37,0,1,2025-01-10
TXN-00808,2025-01-10,2381,Payments,Asia Pacific,failed,1813.03,0,0,2025-01-10
TXN-00818,2025-01-10,4926,Billing,North America,approved,102.53,1,0,2025-01-10
TXN-01166,2025-01-10,5827,Risk,Middle East,approved,2039.11,1,0,2025-01-10
TXN-01227,2025-01-10,2227,Invoices,Middle East,approved,1168.1,1,0,2025-01-10
TXN-01272,2025-01-10,1363,Invoices,Europe,approved,2101.44,1,0,2025-01-10
TXN-01289,2025-01-10,1042,Risk,Middle East,approved,2212.44,1,0,2025-01-10
TXN-01359,2025-01-10,7519,Risk,Europe,failed,1279.87,0,0,2025-01-10
TXN-01436,2025-01-10,3057,Billing,Europe,failed,2166.76,0,0,2025-01-10
TXN-01450,2025-01-10,5675,Billing,Middle East,failed,1361.76,0,0,2025-01-10
TXN-01489,2025-01-10,9129,Risk,Latin America,approved,1099.65,1,0,2025-01-10
TXN-00120,2025-01-11,9924,Billing,Latin America,approved,1172.94,1,0,2025-01-11
TXN-00198,2025-01-11,2344,Billing,North America,approved,236.92,1,0,2025-01-11
TXN-00313,2025-01-11,7060,Billing,Middle East,approved,412.26,1,0,2025-01-11
TXN-00365,2025-01-11,8516,Payments,Latin America,failed,1921.96,0,0,2025-01-11
TXN-00418,2025-01-11,5414,Billing,Europe,approved,1016.34,1,0,2025-01-11
TXN-00497,2025-01-11,5973,Payments,Asia Pacific,refunded,2137.68,0,1,2025-01-11
TXN-00501,2025-01-11,8902,Payments,North America,approved,857.24,1,0,2025-01-11
TXN-00538,2025-01-11,1362,Payments,Middle East,failed,548.81,0,0,2025-01-11
TXN-00724,2025-01-11,4804,Billing,Latin America,approved,110.84,1,0,2025-01-11
TXN-00726,2025-01-11,6576,Billing,Middle East,approved,1639.88,1,0,2025-01-11
TXN-00778,2025-01-11,1462,Billing,Latin America,approved,1706.66,1,0,2025-01-11
TXN-00784,2025-01-11,8086,Risk,Asia Pacific,refunded,1208.89,0,1,2025-01-11
TXN-00863,2025-01-11,9655,Subscriptions,Middle East,approved,1691.18,1,0,2025-01-11
TXN-00873,2025-01-11,1550,Billing,Europe,failed,1600.09,0,0,2025-01-11
TXN-00946,2025-01-11,9049,Risk,Europe,approved,1674.78,1,0,2025-01-11
TXN-01020,2025-01-11,9969,Risk,Middle East,approved,1776.44,1,0,2025-01-11
TXN-01050,2025-01-11,2152,Invoices,Asia Pacific,approved,1897.42,1,0,2025-01-11
TXN-01157,2025-01-11,1524,Risk,Latin America,refunded,2199.79,0,1,2025-01-11
TXN-01216,2025-01-11,5172,Billing,Middle East,approved,33.0,1,0,2025-01-11
TXN-01321,2025-01-11,5866,Risk,Asia Pacific,approved,742.86,1,0,2025-01-11
TXN-01343,2025-01-11,7877,Invoices,Middle East,failed,865.73,0,0,2025-01-11
TXN-01466,2025-01-11,6336,Payments,North America,approved,1127.34,1,0,2025-01-11
TXN-01484,2025-01-11,8399,Payments,Latin America,approved,1018.52,1,0,2025-01-11
TXN-00018,2025-01-12,1437,Subscriptions,North America,approved,849.1,1,0,2025-01-12
TXN-00074,2025-01-12,8317,Risk,Latin America,refunded,87.4,0,1,2025-01-12
TXN-00157,2025-01-12,8625,Risk,North America,approved,2034.13,1,0,2025-01-12
TXN-00221,2025-01-12,1798,Risk,Middle East,approved,2385.09,1,0,2025-01-12
TXN-00386,2025-01-12,2615,Subscriptions,Europe,approved,60.72,1,0,2025-01-12
TXN-00414,2025-01-12,7995,Payments,Asia Pacific,approved,996.94,1,0,2025-01-12
TXN-00434,2025-01-12,9577,Subscriptions,Latin America,approved,1215.95,1,0,2025-01-12
TXN-00436,2025-01-12,2472,Risk,Middle East,approved,2019.02,1,0,2025-01-12
TXN-00443,2025-01-12,8868,Invoices,Latin America,approved,1385.37,1,0,2025-01-12
TXN-00670,2025-01-12,9802,Subscriptions,North America,approved,1281.54,1,0,2025-01-12
TXN-00705,2025-01-12,5089,Billing,Middle East,failed,1324.67,0,0,2025-01-12
TXN-00759,2025-01-12,1011,Payments,Asia Pacific,approved,1893.2,1,0,2025-01-12
TXN-00783,2025-01-12,3913,Payments,Latin America,approved,1638.39,1,0,2025-01-12
TXN-00874,2025-01-12,4586,Invoices,Europe,approved,2250.01,1,0,2025-01-12
TXN-00945,2025-01-12,6382,Payments,Europe,refunded,1005.88,0,1,2025-01-12
TXN-01005,2025-01-12,1457,Billing,Middle East,approved,2311.07,1,0,2025-01-12
TXN-01238,2025-01-12,2696,Payments,Latin America,approved,482.22,1,0,2025-01-12
TXN-00100,2025-01-13,7372,Subscriptions,Asia Pacific,approved,715.43,1,0,2025-01-13
TXN-00118,2025-01-13,5565,Risk,Middle East,approved,650.9,1,0,2025-01-13
TXN-00241,2025-01-13,4878,Subscriptions,Europe,refunded,2449.26,0,1,2025-01-13
TXN-00306,2025-01-13,1406,Subscriptions,Asia Pacific,approved,2125.65,1,0,2025-01-13
TXN-00329,2025-01-13,6525,Subscriptions,Latin America,approved,399.04,1,0,2025-01-13
TXN-00408,2025-01-13,2451,Risk,Asia Pacific,refunded,187.01,0,1,2025-01-13
TXN-00462,2025-01-13,9896,Billing,Middle East,approved,898.17,1,0,2025-01-13
TXN-00528,2025-01-13,9549,Payments,North America,approved,2143.27,1,0,2025-01-13
TXN-00604,2025-01-13,2164,Risk,Middle East,approved,139.36,1,0,2025-01-13
TXN-00620,2025-01-13,7311,Payments,North America,approved,1085.6,1,0,2025-01-13
TXN-00682,2025-01-13,3161,Payments,Asia Pacific,approved,2255.87,1,0,2025-01-13
TXN-00721,2025-01-13,9512,Risk,Europe,failed,2264.99,0,0,2025-01-13
TXN-00769,2025-01-13,2064,Billing,Asia Pacific,approved,1910.34,1,0,2025-01-13
TXN-00823,2025-01-13,4042,Invoices,Asia Pacific,failed,415.25,0,0,2025-01-13
TXN-00834,2025-01-13,8407,Risk,Latin America,refunded,2453.34,0,1,2025-01-13
TXN-00948,2025-01-13,6815,Subscriptions,Middle East,approved,1201.45,1,0,2025-01-13
TXN-01063,2025-01-13,6999,Risk,Asia Pacific,failed,1274.2,0,0,2025-01-13
TXN-01090,2025-01-13,4111,Billing,Latin America,approved,398.46,1,0,2025-01-13
TXN-01187,2025-01-13,3199,Subscriptions,Asia Pacific,approved,915.85,1,0,2025-01-13
TXN-01342,2025-01-13,7342,Invoices,Latin America,approved,1899.57,1,0,2025-01-13
TXN-01358,2025-01-13,8018,Subscriptions,Europe,approved,727.32,1,0,2025-01-13
TXN-01445,2025-01-13,8398,Risk,Europe,refunded,2202.08,0,1,2025-01-13
TXN-00058,2025-01-14,7955,Payments,Latin America,refunded,1577.67,0,1,2025-01-14
TXN-00182,2025-01-14,1112,Payments,North America,failed,1469.41,0,0,2025-01-14
TXN-00256,2025-01-14,3871,Payments,Asia Pacific,approved,468.51,1,0,2025-01-14
TXN-00273,2025-01-14,4263,Risk,North America,approved,794.05,1,0,2025-01-14
TXN-00357,2025-01-14,4374,Payments,Latin America,refunded,1782.88,0,1,2025-01-14
TXN-00390,2025-01-14,5048,Risk,Middle East,refunded,1991.31,0,1,2025-01-14
TXN-00457,2025-01-14,5757,Risk,North America,approved,483.25,1,0,2025-01-14
TXN-00522,2025-01-14,6938,Subscriptions,Middle East,approved,1201.5,1,0,2025-01-14
TXN-00536,2025-01-14,8613,Payments,Europe,refunded,399.12,0,1,2025-01-14
TXN-00752,2025-01-14,5969,Risk,Middle East,approved,1143.0,1,0,2025-01-14
TXN-00884,2025-01-14,4535,Invoices,Europe,approved,685.47,1,0,2025-01-14
TXN-00924,2025-01-14,8438,Invoices,Europe,refunded,710.3,0,1,2025-01-14
TXN-00938,2025-01-14,7089,Invoices,North America,approved,1138.17,1,0,2025-01-14
TXN-00961,2025-01-14,4060,Billing,Latin America,approved,1986.01,1,0,2025-01-14
TXN-00975,2025-01-14,1941,Payments,North America,approved,184.7,1,0,2025-01-14
TXN-01046,2025-01-14,4577,Payments,Latin America,approved,461.82,1,0,2025-01-14
TXN-01104,2025-01-14,6063,Payments,Middle East,approved,322.06,1,0,2025-01-14
TXN-01229,2025-01-14,6230,Subscriptions,Middle East,failed,2031.58,0,0,2025-01-14
TXN-01406,2025-01-14,8776,Billing,North America,approved,19.28,1,0,2025-01-14
TXN-01481,2025-01-14,7454,Invoices,Asia Pacific,refunded,2002.62,0,1,2025-01-14
TXN-00041,2025-01-15,5279,Subscriptions,Middle East,approved,561.68,1,0,2025-01-15
TXN-00083,2025-01-15,5638,Subscriptions,North America,approved,1040.22,1,0,2025-01-15
TXN-00178,2025-01-15,4773,Subscriptions,Middle East,approved,2073.33,1,0,2025-01-15
TXN-00187,2025-01-15,4851,Risk,Latin America,approved,863.29,1,0,2025-01-15
TXN-00287,2025-01-15,2783,Payments,Middle East,approved,790.18,1,0,2025-01-15
TXN-00350,2025-01-15,2487,Risk,Latin America,refunded,2263.93,0,1,2025-01-15
TXN-00467,2025-01-15,4337,Invoices,Europe,approved,1700.67,1,0,2025-01-15
TXN-00532,2025-01-15,2594,Payments,Latin America,approved,894.86,1,0,2025-01-15
TXN-00533,2025-01-15,1816,Payments,Europe,approved,1542.64,1,0,2025-01-15
TXN-00623,2025-01-15,6240,Subscriptions,Asia Pacific,failed,1284.98,0,0,2025-01-15
TXN-00750,2025-01-15,4811,Billing,Middle East,approved,1928.69,1,0,2025-01-15
TXN-00847,2025-01-15,3945,Risk,Middle East,approved,1092.18,1,0,2025-01-15
TXN-00937,2025-01-15,6753,Invoices,Middle East,approved,720.92,1,0,2025-01-15
TXN-01076,2025-01-15,3963,Payments,Middle East,approved,1011.4,1,0,2025-01-15
TXN-01078,2025-01-15,5058,Risk,Latin America,approved,1040.83,1,0,2025-01-15
TXN-01487,2025-01-15,7727,Invoices,Latin America,failed,468.51,0,0,2025-01-15
TXN-00168,2025-01-16,7097,Subscriptions,North America,refunded,1366.68,0,1,2025-01-16
TXN-00230,2025-01-16,1941,Billing,Asia Pacific,approved,1633.02,1,0,2025-01-16
TXN-00259,2025-01-16,6142,Invoices,Middle East,refunded,412.33,0,1,2025-01-16
TXN-00262,2025-01-16,4681,Invoices,Latin America,approved,439.19,1,0,2025-01-16
TXN-00411,2025-01-16,1668,Payments,Latin America,failed,1314.22,0,0,2025-01-16
TXN-00544,2025-01-16,7745,Risk,Middle East,approved,1478.83,1,0,2025-01-16
TXN-00661,2025-01-16,8281,Invoices,Europe,approved,934.49,1,0,2025-01-16
TXN-00685,2025-01-16,6703,Billing,Asia Pacific,approved,1443.83,1,0,2025-01-16
TXN-00703,2025-01-16,1352,Subscriptions,Latin America,approved,1636.98,1,0,2025-01-16
TXN-00704,2025-01-16,4024,Billing,Asia Pacific,approved,1654.53,1,0,2025-01-16
TXN-00761,2025-01-16,1213,Payments,Latin America,approved,1476.58,1,0,2025-01-16
TXN-00908,2025-01-16,7394,Billing,Latin America,approved,277.34,1,0,2025-01-16
TXN-01032,2025-01-16,8254,Invoices,Latin America,refunded,2494.14,0,1,2025-01-16
TXN-01174,2025-01-16,2688,Subscriptions,Asia Pacific,approved,2200.64,1,0,2025-01-16
TXN-01193,2025-01-16,9189,Risk,Latin America,approved,1492.09,1,0,2025-01-16
TXN-01405,2025-01-16,6866,Subscriptions,North America,approved,166.28,1,0,2025-01-16
TXN-01433,2025-01-16,2458,Billing,Europe,approved,17.99,1,0,2025-01-16
TXN-00023,2025-01-17,2722,Subscriptions,Middle East,approved,1704.9,1,0,2025-01-17
TXN-00251,2025-01-17,9380,Subscriptions,North America,refunded,1793.09,0,1,2025-01-17
TXN-00253,2025-01-17,6658,Payments,Latin America,approved,2131.15,1,0,2025-01-17
TXN-00349,2025-01-17,5688,Payments,North America,approved,1720.02,1,0,2025-01-17
TXN-00392,2025-01-17,3207,Invoices,Middle East,approved,1327.14,1,0,2025-01-17
TXN-00469,2025-01-17,8552,Invoices,North America,approved,2439.98,1,0,2025-01-17
TXN-00564,2025-01-17,7477,Risk,Asia Pacific,approved,2051.15,1,0,2025-01-17
TXN-00635,2025-01-17,4962,Billing,Asia Pacific,failed,2106.63,0,0,2025-01-17
TXN-00912,2025-01-17,1445,Billing,Middle East,refunded,2291.92,0,1,2025-01-17
TXN-01106,2025-01-17,7799,Invoices,North America,approved,2374.44,1,0,2025-01-17
TXN-01326,2025-01-17,8578,Subscriptions,Middle East,failed,566.07,0,0,2025-01-17
TXN-01345,2025-01-17,5109,Subscriptions,Latin America,refunded,2487.11,0,1,2025-01-17
TXN-01432,2025-01-17,7055,Payments,Middle East,failed,968.43,0,0,2025-01-17
TXN-00052,2025-01-18,8679,Payments,North America,approved,524.51,1,0,2025-01-18
TXN-00072,2025-01-18,4253,Invoices,North America,refunded,1573.1,0,1,2025-01-18
TXN-00102,2025-01-18,7646,Payments,Latin America,failed,701.47,0,0,2025-01-18
TXN-00398,2025-01-18,8870,Billing,Middle East,approved,1729.12,1,0,2025-01-18
TXN-00426,2025-01-18,2185,Billing,North America,refunded,1393.34,0,1,2025-01-18
TXN-00523,2025-01-18,6923,Billing,Asia Pacific,approved,2019.24,1,0,2025-01-18
TXN-00543,2025-01-18,7716,Payments,Europe,approved,196.56,1,0,2025-01-18
TXN-00838,2025-01-18,8371,Invoices,Middle East,approved,2282.71,1,0,2025-01-18
TXN-00888,2025-01-18,9779,Payments,Latin America,approved,1727.48,1,0,2025-01-18
TXN-00993,2025-01-18,9363,Payments,North America,approved,1950.05,1,0,2025-01-18
TXN-01113,2025-01-18,2633,Payments,Asia Pacific,failed,685.88,0,0,2025-01-18
TXN-01115,2025-01-18,1941,Subscriptions,Middle East,approved,1658.91,1,0,2025-01-18
